Method,Buses,N_ES,rho,u_min,Feasible,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,SolCode
MISOCP,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,1,0.92244353420892,18,0.153630837763791,0.910267776235152,1,0
weakest_bus,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
combined,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
P1,[18 33],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
P2,[9 18 26 33],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12
MISOCP,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,1,0.938862779144042,18,0.0965096888565794,0.953924421797883,1,0
weakest_bus,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
combined,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
P1,[18 33],2,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
P2,[9 18 26 33],4,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12
MISOCP,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,1,0.932356926000834,18,0.118020234276407,0.741383247680935,0.8,0
weakest_bus,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
combined,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
P1,[18 33],2,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
P2,[9 18 26 33],4,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12
MISOCP,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,1,0.945289722172465,18,0.0761457301005534,0.772452700632054,0.8,0
weakest_bus,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
end_feeder,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
VSI,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
combined,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
P1,[18 33],2,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
P2,[9 18 26 33],4,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12
