Placement,Buses,N_ES,rho,u_min,Feasible,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,SolCode,SolInfo
P1,[18 33],2,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.7,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.8,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P1,[18 33],2,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.7,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.8,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P2,[9 18 26 33],4,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.7,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.8,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P3,[30 32 25 14 18 31 24],7,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.7,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.8,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P4,[3 6 9 12 15 18 21 24 27 30 33],11,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.2,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.2,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.3,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.3,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.4,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.4,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.5,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.6,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0,1,0.950000000073029,18,0.188213410879856,0.270509301351027,0.999999990656462,0,"Successfully solved (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0,1,0.950000000666484,18,0.195587924263616,0.203968373893712,0.999999978689948,0,"Successfully solved (GUROBI)"
P5,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.8,0.2,0,NaN,NaN,NaN,NaN,NaN,12,"Either infeasible or unbounded (<a href=""yalmip.github.io/infeasibleorunbounded"">learn to debug</a>) (GUROBI)"
