Module,Label,Status,MinVmin_pu,TotalLoss_pu,MeanCurt_pct
9E Full Hybrid,"9E-1: Dist-ES+HeteroRho+2ndGen (no Qg)",INFEASIBLE,NaN,NaN,NaN
9E Full Hybrid,"9E-2: FULL HYBRID (All combined)",INFEASIBLE,NaN,NaN,NaN
9E Full Hybrid,"9E-3: Dist-ES+HeteroRho+Qg (no 2ndGen)",INFEASIBLE,NaN,NaN,NaN
9E Full Hybrid,"9E-4: FULL HYBRID  u_min=0.00",INFEASIBLE,NaN,NaN,NaN
9E Full Hybrid,"9E-5: FULL HYBRID  lambda_u=0",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P1: {18,33} — 2 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P2: {9,18,26,33} — 4 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P3: VIS-7 — 7 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P4: Every-3rd — 11 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000135559,0.184919645106625,19.2174452462037
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000073104,0.187247685981048,14.8760990473497
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000186704,0.182120601550427,17.3896061934242
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000001020235,0.187382488476033,12.0869653989099
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000381446,0.186922086026502,13.7649920268454
